source_id,record_date,asset_id,legacy_or_alias_id,asset_type,station_m,station_label,offset_m,reference_control,rim_or_surface_elev_m,invert_in_m,invert_out_m,diameter_mm,material,station_status,record_status,known_revision_issue,trace_note
AS-001,2026-06-01,MH-01,,manhole,60,0+060.0,0.0,SC-2026-REV-B,104.155,102.837,102.777,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-002,2026-06-01,MH-02,,manhole,142,0+142.0,0.0,SC-2026-REV-B,104.083,102.751,102.691,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-003,2026-06-01,MH-03,,manhole,225,0+225.0,0.0,SC-2026-REV-B,104.009,102.664,102.604,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-004,2026-06-01,MH-04,,manhole,310,0+310.0,0.0,SC-2026-REV-B,103.812,102.575,102.514,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-005,2026-06-01,MH-05,,manhole,390,0+390.0,0.0,SC-2026-REV-B,103.743,102.491,102.431,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-006,2026-06-01,MH-06,,manhole,470,0+470.0,0.0,SC-2026-REV-B,103.672,102.407,102.347,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-007,2026-06-01,MH-07,,manhole,550,0+550.0,0.0,SC-2026-REV-B,103.603,102.323,102.263,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-008,2026-06-01,MH-08,,manhole,630,0+630.0,0.0,SC-2026-REV-B,103.413,102.239,102.178,525,VCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-009,2026-06-01,MH-09,,manhole,705,0+705.0,0.0,SC-2026-REV-B,103.349,102.16,102.1,525,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-010,2026-06-01,MH-10,,manhole,782,0+782.0,0.0,SC-2026-REV-B,103.282,102.079,102.019,525,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-011,2026-06-01,MH-11,,manhole,860,0+860.0,0.0,SC-2026-REV-B,103.215,101.997,101.937,525,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-012,2026-06-01,MH-12,,manhole,940,0+940.0,0.0,SC-2026-REV-B,103.025,101.913,101.853,525,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-013,2026-06-01,MH-13,,manhole,1020,1+020.0,0.0,SC-2026-REV-B,102.955,101.829,101.769,525,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-014,2026-06-01,MH-14,,manhole,1100,1+100.0,0.0,SC-2026-REV-B,102.885,101.745,101.685,600,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
AS-015,2026-06-01,MH-15,,manhole,1182,1+182.0,0.0,SC-2026-REV-B,102.812,101.659,101.599,600,RCP,chainage verified from station control,active,,Municipal asset register load 2026-06-01; use survey for final elevations.
