source_id,inspection_date,asset_id,station_label,method,observed_diameter_mm,material,upstream_invert_m,downstream_invert_m,sediment_pct,blockage_pct,condition_grade,defect_or_findings,photo_or_clip_ref,reliability,inspection_conclusion
INSP-001,2026-05-18,CB-01,0+025.0,field inlet inspection,375,precast concrete,,,10,0,2,No obstruction affecting barrel observed.,IMG-CB01,high,Serviceable.
INSP-002,2026-05-18,CB-02,0+084.0,field inlet inspection,375,precast concrete,,,15,0,2,No obstruction affecting barrel observed.,IMG-CB02,high,Serviceable.
INSP-003,2026-05-18,CB-03,0+138.0,field inlet inspection,375,precast concrete,,,20,0,2,No obstruction affecting barrel observed.,IMG-CB03,high,Serviceable.
INSP-004,2026-05-18,CB-04,0+210.0,field inlet inspection,375,precast concrete,,,5,0,2,No obstruction affecting barrel observed.,IMG-CB04,high,Serviceable.
INSP-005,2026-05-18,CB-05,0+276.0,field inlet inspection,375,precast concrete,,,10,0,2,No obstruction affecting barrel observed.,IMG-CB05,high,Serviceable.
INSP-006,2026-05-18,CB-06,0+340.0,field inlet inspection,375,precast concrete,,,15,0,2,No obstruction affecting barrel observed.,IMG-CB06,high,Serviceable.
INSP-007,2026-05-18,CB-07,0+405.0,field inlet inspection,375,precast concrete,,,20,0,2,No obstruction affecting barrel observed.,IMG-CB07,high,Serviceable.
INSP-008,2026-05-18,CB-08,0+468.0,field inlet inspection,375,precast concrete,,,5,0,2,No obstruction affecting barrel observed.,IMG-CB08,high,Serviceable.
INSP-009,2026-05-18,CB-09,0+525.0,field inlet inspection,375,precast concrete,,,10,0,2,No obstruction affecting barrel observed.,IMG-CB09,high,Serviceable.
INSP-010,2026-05-18,CB-10,0+585.0,field inlet inspection,375,precast concrete,,,15,0,2,No obstruction affecting barrel observed.,IMG-CB10,high,Serviceable.
INSP-011,2026-05-18,CB-11,0+640.0,field inlet inspection,375,precast concrete,,,20,0,2,No obstruction affecting barrel observed.,IMG-CB11,high,Serviceable.
INSP-012,2026-05-18,CB-12,0+690.0,field inlet inspection,375,precast concrete,,,5,18,2,Debris at grate and sump measured by probe.,IMG-CB12,medium,Cleanout recommended.
